date,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
08-11-2020,,,Switzerland,2020-08-12 04:27:29,46.8182,8.2275,36895,1835,32400,2660,Switzerland,426.3041997,4.973573655
08-12-2020,,,Switzerland,2020-08-13 04:29:15,46.8182,8.2275,37169,1835,32700,2634,Switzerland,429.4701395,4.93690979
08-13-2020,,,Switzerland,2020-08-14 04:51:19,46.8182,8.2275,37403,1836,32700,2867,Switzerland,432.1738984,4.908697163
08-14-2020,,,Switzerland,2020-08-15 04:27:31,46.8182,8.2275,37671,1836,32900,2935,Switzerland,435.2705111,4.873775583
08-15-2020,,,Switzerland,2020-08-16 04:27:42,46.8182,8.2275,37924,1838,33200,2886,Switzerland,438.1938059,4.846535176
08-16-2020,,,Switzerland,2020-08-17 04:27:20,46.8182,8.2275,38124,1838,33300,2986,Switzerland,440.5047109,4.821110062
08-17-2020,,,Switzerland,2020-08-18 04:27:56,46.8182,8.2275,38252,1840,33300,3112,Switzerland,441.9836901,4.810206002
08-18-2020,,,Switzerland,2020-08-19 04:27:00,46.8182,8.2275,38449,1840,33500,3109,Switzerland,444.2599315,4.785560093
08-19-2020,,,Switzerland,2020-08-20 04:27:43,46.8182,8.2275,38760,1840,33500,3420,Switzerland,447.8533888,4.747162023
08-20-2020,,,Switzerland,2020-08-21 04:27:41,46.8182,8.2275,39026,1840,33900,3286,Switzerland,450.9268924,4.714805514
08-21-2020,,,Switzerland,2020-08-22 04:27:49,46.8182,8.2275,39332,1841,33900,3591,Switzerland,454.4625771,4.680667141
08-22-2020,,,Switzerland,2020-08-23 04:27:48,46.8182,8.2275,39627,1842,34100,3685,Switzerland,457.871162,4.648345825
08-23-2020,,,Switzerland,2020-08-24 04:27:56,46.8182,8.2275,39903,1843,34400,3660,Switzerland,461.0602109,4.618700348
08-24-2020,,,Switzerland,2020-08-25 04:28:02,46.8182,8.2275,40060,1844,34400,3816,Switzerland,462.8742713,4.603095357
08-25-2020,,,Switzerland,2020-08-26 04:28:11,46.8182,8.2275,40262,1844,34400,4018,Switzerland,465.2082853,4.580000993
08-26-2020,,,Switzerland,2020-08-27 04:28:15,46.8182,8.2275,40645,1844,34800,4001,Switzerland,469.6336684,4.5368434
08-27-2020,,,Switzerland,2020-08-28 04:28:11,46.8182,8.2275,41006,1845,34800,4361,Switzerland,473.8048519,4.49934156
08-28-2020,,,Switzerland,2020-08-29 04:28:19,46.8182,8.2275,41346,1845,34800,4701,Switzerland,477.7333904,4.462342185
