date,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,,,,,,,,,,,,
09-01-2021,,Beijing,China,2021-09-02 04:21:15,40.1824,116.4142,1117,9,,,"Beijing, China",5.102065286,0.805729633,,,,,,,,,,,,
09-02-2021,,Beijing,China,2021-09-03 04:21:20,40.1824,116.4142,1117,9,,,"Beijing, China",5.102065286,0.805729633,,,,,,,,,,,,
09-03-2021,,Beijing,China,2021-09-04 04:21:28,40.1824,116.4142,1117,9,,,"Beijing, China",5.102065286,0.805729633,,,,,,,,,,,,
09-04-2021,,Beijing,China,2021-09-05 04:21:33,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-05-2021,,Beijing,China,2021-09-06 04:21:22,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-06-2021,,Beijing,China,2021-09-07 04:21:35,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-07-2021,,Beijing,China,2021-09-08 04:21:31,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-08-2021,,Beijing,China,2021-09-09 04:21:27,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-09-2021,,Beijing,China,2021-09-10 04:21:20,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-10-2021,,Beijing,China,2021-09-11 04:21:30,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-11-2021,,Beijing,China,2021-09-12 04:21:13,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-12-2021,,Beijing,China,2021-09-13 04:21:15,40.1824,116.4142,1118,9,,,"Beijing, China",5.106632936,0.805008945,,,,,,,,,,,,
09-13-2021,,Beijing,China,2021-09-14 04:21:41,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-14-2021,,Beijing,China,2021-09-15 03:22:37,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-15-2021,,Beijing,China,2021-09-16 04:22:19,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-16-2021,,Beijing,China,2021-09-17 04:21:46,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-17-2021,,Beijing,China,2021-09-18 04:21:24,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-18-2021,,Beijing,China,2021-09-19 04:21:34,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-19-2021,,Beijing,China,2021-09-20 04:21:22,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-20-2021,,Beijing,China,2021-09-21 04:21:26,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-21-2021,,Beijing,China,2021-09-22 04:21:45,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-22-2021,,Beijing,China,2021-09-23 04:21:43,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-23-2021,,Beijing,China,2021-09-24 04:21:44,40.1824,116.4142,1119,9,,,"Beijing, China",5.111200586,0.804289544,,,,,,,,,,,,
09-24-2021,,Beijing,China,2021-09-25 04:21:31,40.1824,116.4142,1120,9,,,"Beijing, China",5.115768237,0.803571429,,,,,,,,,,,,
09-25-2021,,Beijing,China,2021-09-26 04:21:29,40.1824,116.4142,1120,9,,,"Beijing, China",5.115768237,0.803571429,,,,,,,,,,,,
09-26-2021,,Beijing,China,2021-09-27 04:21:16,40.1824,116.4142,1123,9,,,"Beijing, China",5.129471187,0.801424755,,,,,,,,,,,,
09-27-2021,,Beijing,China,2021-09-28 04:21:28,40.1824,116.4142,1123,9,,,"Beijing, China",5.129471187,0.801424755,,,,,,,,,,,,
09-28-2021,,Beijing,China,2021-09-29 04:21:45,40.1824,116.4142,1123,9,,,"Beijing, China",5.129471187,0.801424755,,,,,,,,,,,,
09-29-2021,,Beijing,China,2021-09-30 04:21:20,40.1824,116.4142,1123,9,,,"Beijing, China",5.129471187,0.801424755,,,,,,,,,,,,
09-30-2021,,Beijing,China,2021-10-01 04:21:35,40.1824,116.4142,1124,9,,,"Beijing, China",5.134038837,0.800711744,,,,,,,,,,,,
10-01-2021,,Beijing,China,2021-10-02 04:21:25,40.1824,116.4142,1124,9,,,"Beijing, China",5.134038837,0.800711744,,,,,,,,,,,,
10-02-2021,,Beijing,China,2021-10-03 04:21:24,40.1824,116.4142,1124,9,,,"Beijing, China",5.134038837,0.800711744,,,,,,,,,,,,
10-03-2021,,Beijing,China,2021-10-04 04:21:31,40.1824,116.4142,1125,9,,,"Beijing, China",5.138606488,0.8,,,,,,,,,,,,
10-04-2021,,Beijing,China,2021-10-05 04:21:27,40.1824,116.4142,1125,9,,,"Beijing, China",5.138606488,0.8,,,,,,,,,,,,
10-05-2021,,Beijing,China,2021-10-06 04:21:33,40.1824,116.4142,1125,9,,,"Beijing, China",5.138606488,0.8,,,,,,,,,,,,
10-06-2021,,Beijing,China,2021-10-07 04:21:36,40.1824,116.4142,1126,9,,,"Beijing, China",5.143174138,0.79928952,,,,,,,,,,,,
