date,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
09-01-2021,,,Israel,2021-09-02 04:21:15,31.046051,34.851612,1082981,7086,,,Israel,12511.99665,0.654305108
09-02-2021,,,Israel,2021-09-03 04:21:20,31.046051,34.851612,1096881,7122,,,Israel,12672.58742,0.649295594
09-03-2021,,,Israel,2021-09-04 04:21:28,31.046051,34.851612,1104971,7129,,,Israel,12766.05356,0.645175303
09-04-2021,,,Israel,2021-09-05 04:21:33,31.046051,34.851612,1112964,7154,,,Israel,12858.39903,0.642788087
09-05-2021,,,Israel,2021-09-06 04:21:22,31.046051,34.851612,1117596,7205,,,Israel,12911.91388,0.644687347
09-06-2021,,,Israel,2021-09-07 04:21:35,31.046051,34.851612,1117596,7205,,,Israel,12911.91388,0.644687347
09-07-2021,,,Israel,2021-09-08 04:21:31,31.046051,34.851612,1117596,7205,,,Israel,12911.91388,0.644687347
09-08-2021,,,Israel,2021-09-09 04:21:27,31.046051,34.851612,1139887,7261,,,Israel,13169.44833,0.636992965
09-09-2021,,,Israel,2021-09-10 04:21:20,31.046051,34.851612,1145932,7313,,,Israel,13239.28799,0.638170502
09-10-2021,,,Israel,2021-09-11 04:21:30,31.046051,34.851612,1154286,7321,,,Israel,13335.8042,0.634244893
09-11-2021,,,Israel,2021-09-12 04:21:13,31.046051,34.851612,1165682,7338,,,Israel,13467.46552,0.629502729
09-12-2021,,,Israel,2021-09-13 04:21:15,31.046051,34.851612,1172253,7383,,,Israel,13543.38221,0.629812848
09-13-2021,,,Israel,2021-09-14 04:21:41,31.046051,34.851612,1184053,7406,,,Israel,13679.71107,0.625478758
09-14-2021,,,Israel,2021-09-15 03:22:37,31.046051,34.851612,1194783,7438,,,Israel,13803.6779,0.622539825
09-15-2021,,,Israel,2021-09-16 04:22:19,31.046051,34.851612,1202212,7452,,,Israel,13889.50731,0.619857396
09-16-2021,,,Israel,2021-09-17 04:21:46,31.046051,34.851612,1208403,7465,,,Israel,13961.03375,0.617757487
09-17-2021,,,Israel,2021-09-18 04:21:24,31.046051,34.851612,1211443,7494,,,Israel,13996.15576,0.618601123
09-18-2021,,,Israel,2021-09-19 04:21:34,31.046051,34.851612,1220397,7511,,,Israel,14099.60394,0.615455462
09-19-2021,,,Israel,2021-09-20 04:21:22,31.046051,34.851612,1228129,7541,,,Israel,14188.934,0.614023445
09-20-2021,,,Israel,2021-09-21 04:21:26,31.046051,34.851612,1235064,7555,,,Israel,14269.05609,0.611709191
09-21-2021,,,Israel,2021-09-22 04:21:45,31.046051,34.851612,1242262,7567,,,Israel,14352.21669,0.609130763
09-22-2021,,,Israel,2021-09-23 04:21:43,31.046051,34.851612,1247633,7592,,,Israel,14414.26943,0.608512279
09-23-2021,,,Israel,2021-09-24 04:21:44,31.046051,34.851612,1254351,7611,,,Israel,14491.88445,0.606767962
09-24-2021,,,Israel,2021-09-25 04:21:31,31.046051,34.851612,1256600,7611,,,Israel,14517.8678,0.605681999
09-25-2021,,,Israel,2021-09-26 04:21:29,31.046051,34.851612,1262945,7649,,,Israel,14591.17345,0.60564791
09-26-2021,,,Israel,2021-09-27 04:21:16,31.046051,34.851612,1266206,7675,,,Israel,14628.84873,0.606141497
09-27-2021,,,Israel,2021-09-28 04:21:28,31.046051,34.851612,1270230,7684,,,Israel,14675.33918,0.604929816
09-28-2021,,,Israel,2021-09-29 04:21:45,31.046051,34.851612,1274395,7692,,,Israel,14723.45865,0.603580523
09-29-2021,,,Israel,2021-09-30 04:21:20,31.046051,34.851612,1277270,7732,,,Israel,14756.67437,0.605353606
09-30-2021,,,Israel,2021-10-01 04:21:35,31.046051,34.851612,1282218,7761,,,Israel,14813.84006,0.605279289
10-01-2021,,,Israel,2021-10-02 04:21:25,31.046051,34.851612,1285570,7766,,,Israel,14852.5667,0.604090015
10-02-2021,,,Israel,2021-10-03 04:21:24,31.046051,34.851612,1287977,7778,,,Israel,14880.37547,0.603892771
10-03-2021,,,Israel,2021-10-04 04:21:31,31.046051,34.851612,1290129,7821,,,Israel,14905.23816,0.606218448
10-04-2021,,,Israel,2021-10-05 04:21:27,31.046051,34.851612,1293498,7843,,,Israel,14944.1612,0.606340327
10-05-2021,,,Israel,2021-10-06 04:21:33,31.046051,34.851612,1296343,7855,,,Israel,14977.03032,0.605935312
10-06-2021,,,Israel,2021-10-07 04:21:36,31.046051,34.851612,1298589,7862,,,Israel,15002.97902,0.605426351
10-07-2021,,,Israel,2021-10-08 04:21:25,31.046051,34.851612,1300968,7882,,,Israel,15030.4643,0.605856562
10-08-2021,,,Israel,2021-10-09 04:21:34,31.046051,34.851612,1302777,7885,,,Israel,15051.36421,0.605245564
10-09-2021,,,Israel,2021-10-10 04:21:38,31.046051,34.851612,1304356,7897,,,Israel,15069.60686,0.605432873
10-10-2021,,,Israel,2021-10-11 04:21:31,31.046051,34.851612,1305711,7920,,,Israel,15085.26157,0.606566078
10-11-2021,,,Israel,2021-10-12 04:21:09,31.046051,34.851612,1307870,7940,,,Israel,15110.20513,0.607093977
10-12-2021,,,Israel,2021-10-13 04:20:51,31.046051,34.851612,1309738,7952,,,Israel,15131.78668,0.60714433
10-13-2021,,,Israel,2021-10-14 04:21:29,31.046051,34.851612,1311295,7959,,,Israel,15149.77516,0.606957245
10-14-2021,,,Israel,2021-10-15 04:21:26,31.046051,34.851612,1312908,7972,,,Israel,15168.41062,0.607201723
10-15-2021,,,Israel,2021-10-16 04:21:15,31.046051,34.851612,1314213,7976,,,Israel,15183.48766,0.606903143
10-16-2021,,,Israel,2021-10-17 04:21:29,31.046051,34.851612,1315317,7983,,,Israel,15196.2425,0.606925935
10-17-2021,,,Israel,2021-10-18 04:21:10,31.046051,34.851612,1316317,7999,,,Israel,15207.79579,0.607680369
10-18-2021,,,Israel,2021-10-19 04:20:54,31.046051,34.851612,1317758,8010,,,Israel,15224.44409,0.607850607
10-19-2021,,,Israel,2021-10-20 04:21:00,31.046051,34.851612,1319001,8021,,,Israel,15238.80483,0.608111745
10-20-2021,,,Israel,2021-10-21 04:21:18,31.046051,34.851612,1319902,8029,,,Israel,15249.21435,0.608302738
10-21-2021,,,Israel,2021-10-22 04:21:14,31.046051,34.851612,1320962,8036,,,Israel,15261.46084,0.608344525
10-22-2021,,,Israel,2021-10-23 04:21:32,31.046051,34.851612,1321894,8039,,,Israel,15272.22851,0.608142559
10-23-2021,,,Israel,2021-10-24 04:21:22,31.046051,34.851612,1322395,8046,,,Israel,15278.01671,0.608441502
10-24-2021,,,Israel,2021-10-25 04:22:31,31.046051,34.851612,1323079,8049,,,Israel,15285.91916,0.608353696
10-25-2021,,,Israel,2021-10-26 04:22:09,31.046051,34.851612,1324040,8062,,,Israel,15297.02187,0.608893991
10-26-2021,,,Israel,2021-10-27 04:22:32,31.046051,34.851612,1324897,8063,,,Israel,15306.92305,0.60857561
10-27-2021,,,Israel,2021-10-28 04:22:08,31.046051,34.851612,1325496,8073,,,Israel,15313.84347,0.609055025
10-28-2021,,,Israel,2021-10-29 04:22:03,31.046051,34.851612,1326171,8081,,,Israel,15321.64194,0.609348267
10-29-2021,,,Israel,2021-10-30 04:22:03,31.046051,34.851612,1326742,8085,,,Israel,15328.23887,0.609387507
10-30-2021,,,Israel,2021-10-31 04:22:08,31.046051,34.851612,1327126,8085,,,Israel,15332.67533,0.609211183
10-31-2021,,,Israel,2021-11-01 04:22:01,31.046051,34.851612,1327458,8100,,,Israel,15336.51103,0.610188797
11-01-2021,,,Israel,2021-11-02 04:22:03,31.046051,34.851612,1328218,8103,,,Israel,15345.29153,0.610065516
11-02-2021,,,Israel,2021-11-03 06:22:09,31.046051,34.851612,1331597,8106,,,Israel,15384.33011,0.608742735
11-03-2021,,,Israel,2021-11-04 04:22:20,31.046051,34.851612,1332247,8109,,,Israel,15391.83975,0.608670915
11-04-2021,,,Israel,2021-11-05 04:21:54,31.046051,34.851612,1332801,8112,,,Israel,15398.24027,0.608643001
11-05-2021,,,Israel,2021-11-06 04:21:51,31.046051,34.851612,1333263,8112,,,Israel,15403.57789,0.608432095
11-06-2021,,,Israel,2021-11-07 04:21:53,31.046051,34.851612,1333605,8114,,,Israel,15407.52912,0.608426033
11-07-2021,,,Israel,2021-11-08 04:21:43,31.046051,34.851612,1333989,8122,,,Israel,15411.96558,0.608850598
11-08-2021,,,Israel,2021-11-09 04:21:36,31.046051,34.851612,1334766,8124,,,Israel,15420.94249,0.60864601
11-09-2021,,,Israel,2021-11-10 04:21:38,31.046051,34.851612,1335184,8130,,,Israel,15425.77177,0.60890484
11-10-2021,,,Israel,2021-11-11 04:21:45,31.046051,34.851612,1335654,8133,,,Israel,15431.20182,0.608915183
11-11-2021,,,Israel,2021-11-12 04:22:01,31.046051,34.851612,1336174,8138,,,Israel,15437.20953,0.609052414
11-12-2021,,,Israel,2021-11-13 04:21:38,31.046051,34.851612,1336587,8140,,,Israel,15441.98104,0.609013854
11-13-2021,,,Israel,2021-11-14 04:21:31,31.046051,34.851612,1336882,8140,,,Israel,15445.38926,0.608879467
11-14-2021,,,Israel,2021-11-15 04:21:36,31.046051,34.851612,1337190,8143,,,Israel,15448.94767,0.608963573
11-15-2021,,,Israel,2021-11-16 04:21:10,31.046051,34.851612,1337781,8143,,,Israel,15455.77567,0.608694547
