date,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
09-01-2021,,,Switzerland,2021-09-02 04:21:15,46.8182,8.2275,782869,10907,,,Switzerland,9045.679428,1.393208825
09-02-2021,,,Switzerland,2021-09-03 04:21:20,46.8182,8.2275,785696,10911,,,Switzerland,9078.34407,1.388705046
09-03-2021,,,Switzerland,2021-09-04 04:21:28,46.8182,8.2275,785696,10918,,,Switzerland,9078.34407,1.389595976
09-04-2021,,,Switzerland,2021-09-05 04:21:33,46.8182,8.2275,785696,10920,,,Switzerland,9078.34407,1.389850527
09-05-2021,,,Switzerland,2021-09-06 04:21:22,46.8182,8.2275,785696,10927,,,Switzerland,9078.34407,1.390741457
09-06-2021,,,Switzerland,2021-09-07 04:21:35,46.8182,8.2275,785696,10930,,,Switzerland,9078.34407,1.391123284
09-07-2021,,,Switzerland,2021-09-08 04:21:31,46.8182,8.2275,798497,10927,,,Switzerland,9226.253545,1.368445968
09-08-2021,,,Switzerland,2021-09-09 04:21:27,46.8182,8.2275,802048,10940,,,Switzerland,9267.283663,1.364008139
09-09-2021,,,Switzerland,2021-09-10 04:21:20,46.8182,8.2275,805164,10945,,,Switzerland,9303.287563,1.359350393
09-10-2021,,,Switzerland,2021-09-11 04:21:30,46.8182,8.2275,808058,10952,,,Switzerland,9336.726358,1.355348255
09-11-2021,,,Switzerland,2021-09-12 04:21:13,46.8182,8.2275,808058,10951,,,Switzerland,9336.726358,1.355224501
09-12-2021,,,Switzerland,2021-09-13 04:21:15,46.8182,8.2275,808058,10952,,,Switzerland,9336.726358,1.355348255
09-13-2021,,,Switzerland,2021-09-14 04:21:41,46.8182,8.2275,814118,10967,,,Switzerland,9406.74678,1.347102017
09-14-2021,,,Switzerland,2021-09-15 03:22:37,46.8182,8.2275,816110,10974,,,Switzerland,9429.763393,1.344671674
09-15-2021,,,Switzerland,2021-09-16 04:22:19,46.8182,8.2275,818715,10980,,,Switzerland,9459.862931,1.341126033
09-16-2021,,,Switzerland,2021-09-17 04:21:46,46.8182,8.2275,820982,10991,,,Switzerland,9486.057039,1.338762604
09-17-2021,,,Switzerland,2021-09-18 04:21:24,46.8182,8.2275,823078,10999,,,Switzerland,9510.275324,1.336325354
09-18-2021,,,Switzerland,2021-09-19 04:21:34,46.8182,8.2275,823078,10999,,,Switzerland,9510.275324,1.336325354
09-19-2021,,,Switzerland,2021-09-20 04:21:22,46.8182,8.2275,823078,11000,,,Switzerland,9510.275324,1.33644685
09-20-2021,,,Switzerland,2021-09-21 04:21:26,46.8182,8.2275,827111,11015,,,Switzerland,9556.874723,1.331743865
09-21-2021,,,Switzerland,2021-09-22 04:21:45,46.8182,8.2275,828347,11021,,,Switzerland,9571.156116,1.330481067
09-22-2021,,,Switzerland,2021-09-23 04:21:43,46.8182,8.2275,830251,11027,,,Switzerland,9593.155931,1.328152571
