"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ISR","HUR","TOT","PC_LF","M","2017-01",4.542472,
"ISR","HUR","TOT","PC_LF","M","2017-02",4.334576,
"ISR","HUR","TOT","PC_LF","M","2017-03",4.4111,
"ISR","HUR","TOT","PC_LF","M","2017-04",4.356451,
"ISR","HUR","TOT","PC_LF","M","2017-05",4.474104,
"ISR","HUR","TOT","PC_LF","M","2017-06",4.336415,
"ISR","HUR","TOT","PC_LF","M","2017-07",3.917505,
"ISR","HUR","TOT","PC_LF","M","2017-08",4.109963,
"ISR","HUR","TOT","PC_LF","M","2017-09",3.990254,
"ISR","HUR","TOT","PC_LF","M","2017-10",4.105582,
"ISR","HUR","TOT","PC_LF","M","2017-11",4.048998,
"ISR","HUR","TOT","PC_LF","M","2017-12",4.063642,
"ISR","HUR","TOT","PC_LF","M","2018-01",3.6941,
"ISR","HUR","TOT","PC_LF","M","2018-02",3.870055,
"ISR","HUR","TOT","PC_LF","M","2018-03",3.761395,
"ISR","HUR","TOT","PC_LF","M","2018-04",3.957052,
"ISR","HUR","TOT","PC_LF","M","2018-05",4.001413,
"ISR","HUR","TOT","PC_LF","M","2018-06",3.950737,
"ISR","HUR","TOT","PC_LF","M","2018-07",4.189781,
"ISR","HUR","TOT","PC_LF","M","2018-08",3.928799,
"ISR","HUR","TOT","PC_LF","M","2018-09",4.161134,
"ISR","HUR","TOT","PC_LF","M","2018-10",3.992036,
"ISR","HUR","TOT","PC_LF","M","2018-11",4.021734,
"ISR","HUR","TOT","PC_LF","M","2018-12",4.266619,
"ISR","HUR","TOT","PC_LF","M","2019-01",4.254467,
"ISR","HUR","TOT","PC_LF","M","2019-02",4.061798,
"ISR","HUR","TOT","PC_LF","M","2019-03",3.897781,
"ISR","HUR","TOT","PC_LF","M","2019-04",3.941908,
"ISR","HUR","TOT","PC_LF","M","2019-05",3.684264,
"ISR","HUR","TOT","PC_LF","M","2019-06",3.970161,
"ISR","HUR","TOT","PC_LF","M","2019-07",3.645944,
"ISR","HUR","TOT","PC_LF","M","2019-08",3.623611,
"ISR","HUR","TOT","PC_LF","M","2019-09",3.560542,
"ISR","HUR","TOT","PC_LF","M","2019-10",3.565275,
"ISR","HUR","TOT","PC_LF","M","2019-11",3.997303,
"ISR","HUR","TOT","PC_LF","M","2019-12",3.650354,
"ISR","HUR","TOT","PC_LF","M","2020-01",3.750598,
"ISR","HUR","TOT","PC_LF","M","2020-02",3.370876,
"ISR","HUR","TOT","PC_LF","M","2020-03",3.464314,
"ISR","HUR","TOT","PC_LF","M","2020-04",3.650854,
"ISR","HUR","TOT","PC_LF","M","2020-05",4.13725,
"ISR","HUR","TOT","PC_LF","M","2020-06",4.703808,
"ISR","HUR","TOT","PC_LF","M","2020-07",4.760103,
"ISR","HUR","TOT","PC_LF","M","2020-08",4.830836,
"ISR","HUR","TOT","PC_LF","M","2020-09",4.557229,
"ISR","HUR","TOT","PC_LF","M","2020-10",4.596011,
"ISR","HUR","TOT","PC_LF","M","2020-11",4.802217,
"ISR","HUR","TOT","PC_LF","M","2020-12",4.865538,
"ISR","HUR","TOT","PC_LF","M","2021-01",4.691394,
"ISR","HUR","TOT","PC_LF","M","2021-02",5.184835,
"ISR","HUR","TOT","PC_LF","M","2021-03",5.440329,
"ISR","HUR","TOT","PC_LF","M","2021-04",5.318848,
"ISR","HUR","TOT","PC_LF","M","2021-05",5.40276,
"ISR","HUR","TOT","PC_LF","M","2021-06",5.204642,
"ISR","HUR","TOT","PC_LF","M","2021-07",4.985254,
"ISR","HUR","TOT","PC_LF","M","2021-08",4.996312,
"ISR","HUR","TOT","PC_LF","M","2021-09",5.012607,
"ISR","HUR","TOT","PC_LF","M","2021-10",4.798548,
"ISR","HUR","TOT","PC_LF","M","2021-11",4.345694,
"ISR","HUR","TOT","PC_LF","M","2021-12",4.094533,
"ISR","HUR","TOT","PC_LF","M","2022-01",3.874979,
"ISR","HUR","TOT","PC_LF","M","2022-02",3.89747,
