"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","HUR","TOT","PC_LF","M","2017-01",6.268956,"E"
"OECD","HUR","TOT","PC_LF","M","2017-02",6.221737,"E"
"OECD","HUR","TOT","PC_LF","M","2017-03",6.134986,"E"
"OECD","HUR","TOT","PC_LF","M","2017-04",6.027594,"E"
"OECD","HUR","TOT","PC_LF","M","2017-05",6.028626,"E"
"OECD","HUR","TOT","PC_LF","M","2017-06",5.905417,"E"
"OECD","HUR","TOT","PC_LF","M","2017-07",5.856185,"E"
"OECD","HUR","TOT","PC_LF","M","2017-08",5.879329,"E"
"OECD","HUR","TOT","PC_LF","M","2017-09",5.823336,"E"
"OECD","HUR","TOT","PC_LF","M","2017-10",5.759739,"E"
"OECD","HUR","TOT","PC_LF","M","2017-11",5.759384,"E"
"OECD","HUR","TOT","PC_LF","M","2017-12",5.688511,"E"
"OECD","HUR","TOT","PC_LF","M","2018-01",5.596072,"E"
"OECD","HUR","TOT","PC_LF","M","2018-02",5.594785,"E"
"OECD","HUR","TOT","PC_LF","M","2018-03",5.550225,"E"
"OECD","HUR","TOT","PC_LF","M","2018-04",5.536543,"E"
"OECD","HUR","TOT","PC_LF","M","2018-05",5.435766,"E"
"OECD","HUR","TOT","PC_LF","M","2018-06",5.485966,"E"
"OECD","HUR","TOT","PC_LF","M","2018-07",5.425281,"E"
"OECD","HUR","TOT","PC_LF","M","2018-08",5.455516,"E"
"OECD","HUR","TOT","PC_LF","M","2018-09",5.425801,"E"
"OECD","HUR","TOT","PC_LF","M","2018-10",5.476153,"E"
"OECD","HUR","TOT","PC_LF","M","2018-11",5.490827,"E"
"OECD","HUR","TOT","PC_LF","M","2018-12",5.569706,"E"
"OECD","HUR","TOT","PC_LF","M","2019-01",5.60829,"E"
"OECD","HUR","TOT","PC_LF","M","2019-02",5.514631,"E"
"OECD","HUR","TOT","PC_LF","M","2019-03",5.534323,"E"
"OECD","HUR","TOT","PC_LF","M","2019-04",5.444642,"E"
"OECD","HUR","TOT","PC_LF","M","2019-05",5.407132,"E"
"OECD","HUR","TOT","PC_LF","M","2019-06",5.348883,"E"
"OECD","HUR","TOT","PC_LF","M","2019-07",5.402761,"E"
"OECD","HUR","TOT","PC_LF","M","2019-08",5.387128,"E"
"OECD","HUR","TOT","PC_LF","M","2019-09",5.36328,"E"
"OECD","HUR","TOT","PC_LF","M","2019-10",5.385972,"E"
"OECD","HUR","TOT","PC_LF","M","2019-11",5.368189,"E"
"OECD","HUR","TOT","PC_LF","M","2019-12",5.318215,"E"
"OECD","HUR","TOT","PC_LF","M","2020-01",5.376405,"E"
"OECD","HUR","TOT","PC_LF","M","2020-02",5.294434,"E"
"OECD","HUR","TOT","PC_LF","M","2020-03",5.600347,"E"
"OECD","HUR","TOT","PC_LF","M","2020-04",8.795698,"E"
"OECD","HUR","TOT","PC_LF","M","2020-05",8.635303,"E"
"OECD","HUR","TOT","PC_LF","M","2020-06",8.28052,"E"
"OECD","HUR","TOT","PC_LF","M","2020-07",8.124262,"E"
"OECD","HUR","TOT","PC_LF","M","2020-08",7.568347,"E"
"OECD","HUR","TOT","PC_LF","M","2020-09",7.381805,"E"
"OECD","HUR","TOT","PC_LF","M","2020-10",7.126195,"E"
"OECD","HUR","TOT","PC_LF","M","2020-11",6.958025,"E"
"OECD","HUR","TOT","PC_LF","M","2020-12",6.912671,"E"
"OECD","HUR","TOT","PC_LF","M","2021-01",6.880282,"E"
"OECD","HUR","TOT","PC_LF","M","2021-02",6.738935,"E"
"OECD","HUR","TOT","PC_LF","M","2021-03",6.609944,"E"
"OECD","HUR","TOT","PC_LF","M","2021-04",6.697276,"E"
"OECD","HUR","TOT","PC_LF","M","2021-05",6.493389,"E"
"OECD","HUR","TOT","PC_LF","M","2021-06",6.268311,"E"
"OECD","HUR","TOT","PC_LF","M","2021-07",6.045495,"E"
"OECD","HUR","TOT","PC_LF","M","2021-08",5.902206,"E"
"OECD","HUR","TOT","PC_LF","M","2021-09",5.743612,"E"
"OECD","HUR","TOT","PC_LF","M","2021-10",5.651161,"E"
"OECD","HUR","TOT","PC_LF","M","2021-11",5.477559,"E"
"OECD","HUR","TOT","PC_LF","M","2021-12",5.364795,"E"
"OECD","HUR","TOT","PC_LF","M","2022-01",5.350155,"E"
"OECD","HUR","TOT","PC_LF","M","2022-02",5.210691,"E"
